"序号","产品名称","产品编码","型号","Slug","产品类别/系列","检查结果","主图字段","主图引用路径","实际匹配路径","数据文件","数据位置","建议动作"
"1153","Q40母端直通不带阀快插接头","849003","Q4006-SNX-SACN","q4006-snx-sacn","fittings","正常","mainImage","/images/products/fittings/quick-connect-fittings/products/q4006-snx-sacn-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\quick-connect-fittings\products\q4006-snx-sacn-main.jpg","data/products/generated/fittings/quick-connect-fittings/detail/index.json","$[148]","无需处理"
"1154","Q40母端直通不带阀快插接头","849037","Q4006-SNX-SPPE","q4006-snx-sppe","fittings","正常","mainImage","/images/products/fittings/quick-connect-fittings/products/q4006-snx-sppe-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\quick-connect-fittings\products\q4006-snx-sppe-main.jpg","data/products/generated/fittings/quick-connect-fittings/detail/index.json","$[149]","无需处理"
"1155","Q40公端直通带阀快插接头","849031","Q4014N-PNV-SACN","q4014n-pnv-sacn","fittings","正常","mainImage","/images/products/fittings/quick-connect-fittings/products/q4014n-pnv-sacn-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\quick-connect-fittings\products\q4014n-pnv-sacn-main.jpg","data/products/generated/fittings/quick-connect-fittings/detail/index.json","$[150]","无需处理"
"1156","Q40公端直通带阀快插接头","849065","Q4014N-PNV-SPPE","q4014n-pnv-sppe","fittings","正常","mainImage","/images/products/fittings/quick-connect-fittings/products/q4014n-pnv-sppe-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\quick-connect-fittings\products\q4014n-pnv-sppe-main.jpg","data/products/generated/fittings/quick-connect-fittings/detail/index.json","$[151]","无需处理"
"1157","Q40母端直通带阀快插接头","849023","Q4014N-SNV-SACN","q4014n-snv-sacn","fittings","正常","mainImage","/images/products/fittings/quick-connect-fittings/products/q4014n-snv-sacn-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\quick-connect-fittings\products\q4014n-snv-sacn-main.jpg","data/products/generated/fittings/quick-connect-fittings/detail/index.json","$[152]","无需处理"
"1158","Q40母端直通带阀快插接头","849057","Q4014N-SNV-SPPE","q4014n-snv-sppe","fittings","正常","mainImage","/images/products/fittings/quick-connect-fittings/products/q4014n-snv-sppe-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\quick-connect-fittings\products\q4014n-snv-sppe-main.jpg","data/products/generated/fittings/quick-connect-fittings/detail/index.json","$[153]","无需处理"
"1159","Q40母端直通不带阀快插接头","849006","Q4014N-SNX-SACN","q4014n-snx-sacn","fittings","正常","mainImage","/images/products/fittings/quick-connect-fittings/products/q4014n-snx-sacn-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\quick-connect-fittings\products\q4014n-snx-sacn-main.jpg","data/products/generated/fittings/quick-connect-fittings/detail/index.json","$[154]","无需处理"
"1160","Q40母端直通不带阀快插接头","849040","Q4014N-SNX-SPPE","q4014n-snx-sppe","fittings","正常","mainImage","/images/products/fittings/quick-connect-fittings/products/q4014n-snx-sppe-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\quick-connect-fittings\products\q4014n-snx-sppe-main.jpg","data/products/generated/fittings/quick-connect-fittings/detail/index.json","$[155]","无需处理"
"1161","Q60公端L型带阀快插接头","869032","Q6006-PNV-LPPE","q6006-pnv-lppe","fittings","正常","mainImage","/images/products/fittings/quick-connect-fittings/products/q6006-pnv-lppe-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\quick-connect-fittings\products\q6006-pnv-lppe-main.jpg","data/products/generated/fittings/quick-connect-fittings/detail/index.json","$[156]","无需处理"
"1162","Q60公端直通带阀快插接头","869029","Q6006-PNV-SPPE","q6006-pnv-sppe","fittings","正常","mainImage","/images/products/FIT/Quick connector_200x200_01_v001.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\FIT\Quick connector_200x200_01_v001.jpg","data/products/generated/fittings/quick-connect-fittings/detail/index.json","$[157]","无需处理"
"1163","Q60公端L型不带阀快插接头","869012","Q6006-PNX-LPPE","q6006-pnx-lppe","fittings","正常","mainImage","/images/products/fittings/quick-connect-fittings/products/q6006-pnx-lppe-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\quick-connect-fittings\products\q6006-pnx-lppe-main.jpg","data/products/generated/fittings/quick-connect-fittings/detail/index.json","$[158]","无需处理"
"1164","Q60公端直通不带阀快插接头","869009","Q6006-PNX-SPPE","q6006-pnx-sppe","fittings","正常","mainImage","/images/products/FIT/Quick connector_200x200_01_v001.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\FIT\Quick connector_200x200_01_v001.jpg","data/products/generated/fittings/quick-connect-fittings/detail/index.json","$[159]","无需处理"
"1165","Q60母端L型带阀快插接头","869020","Q6006-SMV-LPPE","q6006-smv-lppe","fittings","正常","mainImage","/images/products/fittings/quick-connect-fittings/products/q6006-smv-lppe-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\quick-connect-fittings\products\q6006-smv-lppe-main.jpg","data/products/generated/fittings/quick-connect-fittings/detail/index.json","$[160]","无需处理"
"1166","Q60母端直通带阀快插接头","869026","Q6006-SMV-SPPE","q6006-smv-sppe","fittings","正常","mainImage","/images/products/fittings/quick-connect-fittings/products/q6006-smv-sppe-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\quick-connect-fittings\products\q6006-smv-sppe-main.jpg","data/products/generated/fittings/quick-connect-fittings/detail/index.json","$[161]","无需处理"
"1167","Q60母端L型不带阀快插接头","869018","Q6006-SMX-LPPE","q6006-smx-lppe","fittings","正常","mainImage","/images/products/fittings/quick-connect-fittings/products/q6006-smx-lppe-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\quick-connect-fittings\products\q6006-smx-lppe-main.jpg","data/products/generated/fittings/quick-connect-fittings/detail/index.json","$[162]","无需处理"
"1168","Q60母端直通不带阀快插接头","869006","Q6006-SMX-SPPE","q6006-smx-sppe","fittings","正常","mainImage","/images/products/fittings/quick-connect-fittings/products/q6006-smx-sppe-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\quick-connect-fittings\products\q6006-smx-sppe-main.jpg","data/products/generated/fittings/quick-connect-fittings/detail/index.json","$[163]","无需处理"
"1169","Q60母端直通带阀快插接头","869021","Q6006-SNV-SPPE","q6006-snv-sppe","fittings","正常","mainImage","/images/products/fittings/quick-connect-fittings/products/q6006-snv-sppe-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\quick-connect-fittings\products\q6006-snv-sppe-main.jpg","data/products/generated/fittings/quick-connect-fittings/detail/index.json","$[164]","无需处理"
"1170","Q60母端直通不带阀快插接头","869001","Q6006-SNX-SPPE","q6006-snx-sppe","fittings","正常","mainImage","/images/products/fittings/quick-connect-fittings/products/q6006-snx-sppe-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\quick-connect-fittings\products\q6006-snx-sppe-main.jpg","data/products/generated/fittings/quick-connect-fittings/detail/index.json","$[165]","无需处理"
"1171","Q60公端L型带阀快插接头","869033","Q6008-PNV-LPPE","q6008-pnv-lppe","fittings","正常","mainImage","/images/products/fittings/quick-connect-fittings/products/q6008-pnv-lppe-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\quick-connect-fittings\products\q6008-pnv-lppe-main.jpg","data/products/generated/fittings/quick-connect-fittings/detail/index.json","$[166]","无需处理"
"1172","Q60公端直通带阀快插接头","869030","Q6008-PNV-SPPE","q6008-pnv-sppe","fittings","正常","mainImage","/images/products/fittings/quick-connect-fittings/products/q6008-pnv-sppe-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\quick-connect-fittings\products\q6008-pnv-sppe-main.jpg","data/products/generated/fittings/quick-connect-fittings/detail/index.json","$[167]","无需处理"
"1173","Q60公端L型不带阀快插接头","869013","Q6008-PNX-LPPE","q6008-pnx-lppe","fittings","正常","mainImage","/images/products/fittings/quick-connect-fittings/products/q6008-pnx-lppe-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\quick-connect-fittings\products\q6008-pnx-lppe-main.jpg","data/products/generated/fittings/quick-connect-fittings/detail/index.json","$[168]","无需处理"
"1174","Q60公端直通不带阀快插接头","869010","Q6008-PNX-SPPE","q6008-pnx-sppe","fittings","正常","mainImage","/images/products/fittings/quick-connect-fittings/products/q6008-pnx-sppe-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\quick-connect-fittings\products\q6008-pnx-sppe-main.jpg","data/products/generated/fittings/quick-connect-fittings/detail/index.json","$[169]","无需处理"
"1175","Q60母端L型带阀快插接头","869036","Q6008-SMV-LPPE","q6008-smv-lppe","fittings","正常","mainImage","/images/products/fittings/quick-connect-fittings/products/q6008-smv-lppe-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\quick-connect-fittings\products\q6008-smv-lppe-main.jpg","data/products/generated/fittings/quick-connect-fittings/detail/index.json","$[170]","无需处理"
"1176","Q60母端直通带阀快插接头","869027","Q6008-SMV-SPPE","q6008-smv-sppe","fittings","正常","mainImage","/images/products/fittings/quick-connect-fittings/products/q6008-smv-sppe-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\quick-connect-fittings\products\q6008-smv-sppe-main.jpg","data/products/generated/fittings/quick-connect-fittings/detail/index.json","$[171]","无需处理"
"1177","Q60母端L型不带阀快插接头","869019","Q6008-SMX-LPPE","q6008-smx-lppe","fittings","正常","mainImage","/images/products/fittings/quick-connect-fittings/products/q6008-smx-lppe-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\quick-connect-fittings\products\q6008-smx-lppe-main.jpg","data/products/generated/fittings/quick-connect-fittings/detail/index.json","$[172]","无需处理"
"1178","Q60母端直通不带阀快插接头","869007","Q6008-SMX-SPPE","q6008-smx-sppe","fittings","正常","mainImage","/images/products/fittings/quick-connect-fittings/products/q6008-smx-sppe-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\quick-connect-fittings\products\q6008-smx-sppe-main.jpg","data/products/generated/fittings/quick-connect-fittings/detail/index.json","$[173]","无需处理"
"1179","Q60母端L型带阀快插接头","869041","Q6008-SNV-LPPE","q6008-snv-lppe","fittings","正常","mainImage","/images/products/fittings/quick-connect-fittings/products/q6008-snv-lppe-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\quick-connect-fittings\products\q6008-snv-lppe-main.jpg","data/products/generated/fittings/quick-connect-fittings/detail/index.json","$[174]","无需处理"
"1180","Q60母端直通带阀快插接头","869022","Q6008-SNV-SPPE","q6008-snv-sppe","fittings","正常","mainImage","/images/products/fittings/quick-connect-fittings/products/q6008-snv-sppe-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\quick-connect-fittings\products\q6008-snv-sppe-main.jpg","data/products/generated/fittings/quick-connect-fittings/detail/index.json","$[175]","无需处理"
"1181","Q60母端直通不带阀快插接头","869002","Q6008-SNX-SPPE","q6008-snx-sppe","fittings","正常","mainImage","/images/products/fittings/quick-connect-fittings/products/q6008-snx-sppe-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\quick-connect-fittings\products\q6008-snx-sppe-main.jpg","data/products/generated/fittings/quick-connect-fittings/detail/index.json","$[176]","无需处理"
"1182","Q60公端直通带阀快插接头","869031","Q6012-PNV-SPPE","q6012-pnv-sppe","fittings","正常","mainImage","/images/products/fittings/quick-connect-fittings/products/q6012-pnv-sppe-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\quick-connect-fittings\products\q6012-pnv-sppe-main.jpg","data/products/generated/fittings/quick-connect-fittings/detail/index.json","$[177]","无需处理"
"1183","Q60公端直通不带阀快插接头","869011","Q6012-PNX-SPPE","q6012-pnx-sppe","fittings","正常","mainImage","/images/products/fittings/quick-connect-fittings/products/q6012-pnx-sppe-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\quick-connect-fittings\products\q6012-pnx-sppe-main.jpg","data/products/generated/fittings/quick-connect-fittings/detail/index.json","$[178]","无需处理"
"1184","Q60母端直通带阀快插接头","869028","Q6012-SMV-SPPE","q6012-smv-sppe","fittings","正常","mainImage","/images/products/fittings/quick-connect-fittings/products/q6012-smv-sppe-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\quick-connect-fittings\products\q6012-smv-sppe-main.jpg","data/products/generated/fittings/quick-connect-fittings/detail/index.json","$[179]","无需处理"
"1185","Q60母端直通不带阀快插接头","869008","Q6012-SMX-SPPE","q6012-smx-sppe","fittings","正常","mainImage","/images/products/fittings/quick-connect-fittings/products/q6012-smx-sppe-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\quick-connect-fittings\products\q6012-smx-sppe-main.jpg","data/products/generated/fittings/quick-connect-fittings/detail/index.json","$[180]","无需处理"
"1186","Q60母端直通带阀快插接头","869023","Q6012-SNV-SPPE","q6012-snv-sppe","fittings","正常","mainImage","/images/products/fittings/quick-connect-fittings/products/q6012-snv-sppe-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\quick-connect-fittings\products\q6012-snv-sppe-main.jpg","data/products/generated/fittings/quick-connect-fittings/detail/index.json","$[181]","无需处理"
"1187","Q60母端直通不带阀快插接头","869003","Q6012-SNX-SPPE","q6012-snx-sppe","fittings","正常","mainImage","/images/products/fittings/quick-connect-fittings/products/q6012-snx-sppe-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\quick-connect-fittings\products\q6012-snx-sppe-main.jpg","data/products/generated/fittings/quick-connect-fittings/detail/index.json","$[182]","无需处理"
"1188","Q60公端直通带阀快插接头","869035","Q6012N-PNV-SPPE","q6012n-pnv-sppe","fittings","正常","mainImage","/images/products/fittings/quick-connect-fittings/products/q6012n-pnv-sppe-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\quick-connect-fittings\products\q6012n-pnv-sppe-main.jpg","data/products/generated/fittings/quick-connect-fittings/detail/index.json","$[183]","无需处理"
"1189","Q60公端直通不带阀快插接头","869015","Q6012N-PNX-SPPE","q6012n-pnx-sppe","fittings","正常","mainImage","/images/products/fittings/quick-connect-fittings/products/q6012n-pnx-sppe-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\quick-connect-fittings\products\q6012n-pnx-sppe-main.jpg","data/products/generated/fittings/quick-connect-fittings/detail/index.json","$[184]","无需处理"
"1190","Q60母端直通带阀快插接头","869025","Q6012N-SNV-SPPE","q6012n-snv-sppe","fittings","正常","mainImage","/images/products/FIT/Quick connector_200x200_01_v001.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\FIT\Quick connector_200x200_01_v001.jpg","data/products/generated/fittings/quick-connect-fittings/detail/index.json","$[185]","无需处理"
"1191","Q60母端直通不带阀快插接头","869005","Q6012N-SNX-SPPE","q6012n-snx-sppe","fittings","正常","mainImage","/images/products/FIT/Quick connector_200x200_01_v001.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\FIT\Quick connector_200x200_01_v001.jpg","data/products/generated/fittings/quick-connect-fittings/detail/index.json","$[186]","无需处理"
"1192","Q60公端直通带阀快插接头","869034","Q6038N-PNV-SPPE","q6038n-pnv-sppe","fittings","正常","mainImage","/images/products/fittings/quick-connect-fittings/products/q6038n-pnv-sppe-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\quick-connect-fittings\products\q6038n-pnv-sppe-main.jpg","data/products/generated/fittings/quick-connect-fittings/detail/index.json","$[187]","无需处理"
"1193","Q60公端直通不带阀快插接头","869014","Q6038N-PNX-SPPE","q6038n-pnx-sppe","fittings","正常","mainImage","/images/products/fittings/quick-connect-fittings/products/q6038n-pnx-sppe-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\quick-connect-fittings\products\q6038n-pnx-sppe-main.jpg","data/products/generated/fittings/quick-connect-fittings/detail/index.json","$[188]","无需处理"
"1194","Q60母端直通带阀快插接头","869024","Q6038N-SNV-SPPE","q6038n-snv-sppe","fittings","正常","mainImage","/images/products/fittings/quick-connect-fittings/products/q6038n-snv-sppe-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\quick-connect-fittings\products\q6038n-snv-sppe-main.jpg","data/products/generated/fittings/quick-connect-fittings/detail/index.json","$[189]","无需处理"
"1195","Q60母端直通不带阀快插接头","869004","Q6038N-SNX-SPPE","q6038n-snx-sppe","fittings","正常","mainImage","/images/products/fittings/quick-connect-fittings/products/q6038n-snx-sppe-main.jpg","F:\WebsiteProjects\foreach-website-2026\public\images\products\fittings\quick-connect-fittings\products\q6038n-snx-sppe-main.jpg","data/products/generated/fittings/quick-connect-fittings/detail/index.json","$[190]","无需处理"
"1196","","839041","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[0]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1197","","839085","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[1]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1198","","839019","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[2]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1199","","839063","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[3]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1200","","839034","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[4]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1201","","839078","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[5]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1202","","839012","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[6]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1203","","839056","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[7]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1204","","839030","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[8]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1205","","839074","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[9]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1206","","839008","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[10]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1207","","839052","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[11]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1208","","839023","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[12]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1209","","839067","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[13]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1210","","839001","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[14]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1211","","839045","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[15]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1212","","839042","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[16]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1213","","839086","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[17]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1214","","839020","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[18]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1215","","839064","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[19]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1216","","839038","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[20]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1217","","839082","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[21]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1218","","839091","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[22]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1219","","839035","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[23]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1220","","839079","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[24]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1221","","839016","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[25]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1222","","839060","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[26]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1223","","839013","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[27]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1224","","839057","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[28]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1225","","839031","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[29]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1226","","839075","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[30]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1227","","839009","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[31]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1228","","839053","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[32]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1229","","839027","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[33]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1230","","839071","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[34]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1231","","839092","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[35]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1232","","839024","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[36]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1233","","839068","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[37]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1234","","839005","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[38]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1235","","839049","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[39]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1236","","839002","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[40]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1237","","839046","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[41]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1238","","839043","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[42]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1239","","839087","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[43]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1240","","839021","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[44]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1241","","839065","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[45]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1242","","839036","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[46]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1243","","839080","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[47]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1244","","839014","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[48]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1245","","839058","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[49]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1246","","839032","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[50]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1247","","839076","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[51]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1248","","839010","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[52]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1249","","839054","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[53]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1250","","839025","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[54]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1251","","839069","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[55]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1252","","839003","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[56]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1253","","839047","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[57]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1254","","839044","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[58]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1255","","839088","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[59]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1256","","839022","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[60]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1257","","839066","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[61]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1258","","839039","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[62]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1259","","839083","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[63]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"1260","","839037","","","快插接头","未配置主图字段","","","","data/products/generated/fittings/quick-connect-fittings/index.json","$[64]","确认该产品数据是否缺少主图字段；补图前暂不发布"
